"year","quadrant","attitude","field","movement","individuals","region","weight","axis_pa","axis_pu","axis_ie","lat","lon"
"-40000","PxU","I/E","Spirituality","Paleolithic Cave Art & Ritual","Unknown shamans","Global","9","-0.9","0.6","0.0","15.0","10.0"
"-30000","PxP","I/E","Spirituality","Animism (Archaic)","Unknown","Global","9","-0.9","-0.2","0.0","15.0","10.0"
"-30000","PxP","E","Art","Paleolithic Sculpture (Venus figurines)","Unknown","Europe/Asia","7","-0.7","-0.3","0.5","45.0","15.0"
"-25000","AxP","E","Science","Early Tool & Weapon Technology (Flint-knapping)","Unknown","Global","8","0.5","-0.9","0.7","15.0","10.0"
"-15000","PxP","E","Science","Bone & Antler Tool Craft","Unknown","Global","7","-0.5","-0.8","0.7","45.0","15.0"
"-10000","PxP","E","Science","Neolithic Agriculture & Domestication","Unknown","Middle East/Asia","10","-0.6","-0.7","0.8","35.0","38.0"
"-10000","PxP","I/E","Spirituality","Shamanism (Siberian & Central Asian)","Unknown","Central Asia","8","-0.8","0.3","0.0","60.0","80.0"
"-9000","PxP","E","Art","Neolithic Goddess Cultures / Çatalhöyük","Unknown","Anatolia","7","-0.8","-0.2","0.7","37.8","32.5"
"-8000","PxU","E","Spirituality","Proto-Druidic / Celtic Nature Religion","Unknown","Western Europe","6","-0.9","0.4","0.7","52.0","-3.0"
"-7000","PxP","E","Science","Megalithic Architecture & Stone Engineering","Unknown","Western Europe","7","-0.6","-0.5","0.8","51.0","-2.0"
"-6000","PxP","E","Science","Early Pottery & Ceramic Technology","Unknown","Global","8","-0.7","-0.8","0.8","35.0","38.0"
"-5000","PxP","E","Science","Copper & Early Metallurgy (Chalcolithic)","Unknown","Middle East/Europe","8","-0.5","-0.8","0.8","37.0","35.0"
"-4000","AxP","E","Science","Proto-Writing & Accounting (Tokens, Seals)","Unknown Sumerian scribes","Mesopotamia","8","0.5","-0.7","0.9","32.0","44.0"
"-3500","AxP","E","Science","Invention of the Wheel & Axle","Unknown","Mesopotamia","9","0.3","-0.8","0.9","32.0","44.0"
"-3300","AxP","E","Science","Cuneiform Writing System","Unknown Sumerian scribes","Mesopotamia","10","0.7","-0.5","0.9","32.5","44.4"
"-3200","AxP","E","Science","Egyptian Hieroglyphic Writing","Unknown","Egypt","9","0.6","-0.4","0.9","26.0","32.0"
"-3200","PxP","E","Art","Early Bronze Age Art (Sumerian)","Unknown","Mesopotamia","7","-0.6","-0.3","0.8","32.0","44.0"
"-3000","PxP","E","Science","Bronze Metallurgy (Bronze Age)","Unknown","Middle East/Europe","9","-0.5","-0.8","0.8","37.0","35.0"
"-2900","PxU","E","Art","Sumerian Temple Architecture (Ziggurats)","Unknown architects","Mesopotamia","8","-0.8","0.5","0.8","32.5","44.4"
"-2700","PxP","E","Science","Early Textile Weaving & Loom Technology","Unknown","Global","7","-0.6","-0.8","0.8","35.0","38.0"
"-2600","PxP","E","Art","Minoan Art & Fresco Painting","Unknown Cretan artists","Mediterranean","7","-0.7","-0.3","0.8","35.2","25.2"
"-2600","PxP","E","Art","Indus Valley Craft & Seal Art","Unknown","South Asia","7","-0.6","-0.5","0.8","27.0","68.0"
"-3500","PxU","E","Spirituality","Sumerian Religion & Mythology","Unknown priests","Mesopotamia","8","-0.9","0.7","0.8","32.5","44.4"
"-3100","PxP","E","Art","Egyptian Monumental Architecture (Pyramids)","Imhotep, Hemiunu","Egypt","9","-0.7","-0.4","0.9","29.9","31.1"
"-3000","PxU","E","Spirituality","Ancient Egyptian Religion","Imhotep, Thoth (mythic)","Egypt","9","-0.9","0.8","0.8","26.8","30.8"
"-2700","PxP","E","Art","Gilgamesh Epic & Sumerian Literature","Sin-leqi-unninni","Mesopotamia","9","-0.7","0.1","0.8","32.5","44.4"
"-2600","AxP","E","Science","Egyptian Mathematics & Surveying","Unknown scribes","Egypt","7","0.7","-0.6","0.8","26.8","30.8"
"-2500","PxP","E","Science","Egyptian Medicine & Surgery (Edwin Smith Papyrus)","Unknown physicians","Egypt","7","-0.5","-0.6","0.7","26.8","30.8"
"-2000","PxU","I","Art","Egyptian Funerary Art & Book of the Dead","Various scribes","Egypt","8","-0.8","0.6","-0.3","26.8","30.8"
"-1800","AxP","E","Science","Babylonian Astronomy & Mathematics","Unknown","Mesopotamia","8","0.7","-0.3","0.8","32.5","44.4"
"-1800","AxP","E","Philosophy","Code of Hammurabi (Early Law System)","Hammurabi","Mesopotamia","7","0.6","-0.6","0.9","32.5","44.4"
"-1700","PxP","E","Art","Minoan Palace Architecture & Fresco","Unknown Cretan architects","Mediterranean","7","-0.7","-0.3","0.8","35.2","25.2"
"-1500","PxU","I","Spirituality","Ancient Egyptian Hermetism (proto)","Thoth (mythic)","Egypt","7","-0.6","0.7","-0.5","26.8","30.8"
"-1500","PxP","E","Science","Iron Smelting & Iron Metallurgy (early)","Unknown Hittite smiths","Anatolia","9","-0.5","-0.8","0.9","38.0","35.0"
"-1400","PxP","E","Art","Mycenaean Art & Architecture","Unknown Greek craftsmen","Mediterranean","6","-0.6","-0.4","0.8","37.5","22.5"
"-1350","AxU","I","Spirituality","Atenism (Monotheistic Sun Religion)","Akhenaten","Egypt","6","0.3","0.9","-0.7","26.8","30.8"
"-1200","AxP","E","Science","Phoenician Alphabetic Writing System","Unknown Phoenician scribes","Middle East","10","0.8","-0.5","0.9","34.0","36.0"
"-900","PxP","E","Art","Assyrian Palace Reliefs & Court Art","Unknown artists","Mesopotamia","6","-0.5","-0.4","0.8","36.2","43.1"
"-600","AxP","E","Science","Babylonian Astronomical Tablets (MUL.APIN)","Unknown astrologers","Mesopotamia","7","0.8","-0.4","0.8","32.5","44.4"
"-3000","PxU","I/E","Spirituality","Indus Valley Religion & Yoga Proto-Forms","Unknown","South Asia","7","-0.8","0.4","0.0","27.0","68.0"
"-2500","PxP","E","Science","Indus Valley Urban Engineering & Sanitation","Unknown engineers","South Asia","7","-0.5","-0.7","0.8","27.0","68.0"
"-1500","PxU","I/E","Spirituality","Vedic Religion (Rigveda)","Unknown rishis","South Asia","9","-0.8","0.7","0.0","28.6","77.2"
"-1000","PxP","E","Art","Vedic Oral Poetry & Hymn Tradition","Valmiki (later), Unknown rishis","South Asia","8","-0.7","-0.1","0.8","28.6","77.2"
"-900","AxU","I","Spirituality","Upanishadic Philosophy (early Vedanta)","Yajnavalkya, Uddalaka Aruni, Gargi","South Asia","9","0.7","0.8","-0.8","25.0","82.0"
"-700","AxP","E","Science","Vedanga & Early Indian Astronomy (Jyotisha)","Lagadha","South Asia","6","0.6","-0.4","0.8","25.0","82.0"
"-600","PxU","I","Spirituality","Early Tantra (proto-Shaiva)","Unknown siddhas","South Asia","7","-0.8","0.7","-0.7","28.0","77.0"
"-599","PxP","E","Spirituality","Jainism","Mahavira, Parshvanatha","South Asia","7","-0.6","-0.3","0.8","22.3","72.6"
"-563","PxP","I","Spirituality","Early Buddhism (Theravada)","Siddhartha Gautama, Ananda, Sariputta","South Asia","10","-0.6","-0.4","-0.8","27.5","85.3"
"-400","AxP","E","Science","Panini's Sanskrit Grammar (Ashtadhyayi)","Panini","South Asia","8","0.7","-0.6","0.8","34.0","71.5"
"-400","AxP","E","Philosophy","Arthashastra (Political Science)","Kautilya (Chanakya)","South Asia","7","0.7","-0.7","0.8","13.0","77.6"
"-300","AxU","I","Philosophy","Advaita Vedanta (Gaudapada line)","Gaudapada, Adi Shankaracharya","South Asia","9","0.8","0.9","-0.8","13.0","77.6"
"-300","AxP","E","Philosophy","Nyaya-Vaisheshika (Indian Logic & Atomism)","Gautama Aksapada, Kanada","South Asia","7","0.8","-0.6","0.8","25.0","82.0"
"-300","AxP","E","Science","Indian Mathematics (Sulbasutras)","Baudhayana, Apastamba","South Asia","8","0.6","-0.5","0.8","25.0","82.0"
"-200","AxU","I","Philosophy","Samkhya Philosophy (Kapila)","Kapila","South Asia","8","0.8","0.8","-0.8","30.0","76.0"
"-200","AxP","I","Philosophy","Yoga Sutras (Patanjali)","Patanjali","South Asia","8","0.5","-0.3","-0.8","29.0","77.0"
